Temperature, RH,DMC,DC,ISI,BUI,FWI,class
32,71,2.5,8.2,0.6,2.8,0.2,0
30,73,2.7,7.8,0.6,2.9,0.2,0
29,80,2.2,7.6,0.3,2.6,0.1,0
30,64,5.2,15.4,2.2,5.6,1,0
32,60,6,17.6,1.8,6.5,0.9,0
35,54,8.4,26.3,3.1,9.3,3.1,1
35,44,9.9,28.9,5.4,10.7,6,1
28,51,7.7,7.4,1.5,7.3,0.8,0
27,59,8.5,14.7,2.4,8.3,1.9,0
30,41,13.3,22.5,8.4,13.1,10,1
31,42,18.2,30.5,13.4,18,16.7,1
27,58,21.3,37.8,8.7,21.2,12.9,1
30,52,11.4,7.8,1.4,10.9,0.9,0
27,79,6.4,7.3,0.5,6.1,0.3,0
28,90,7.2,14.7,1.2,7.1,0.6,0
29,87,4.2,8,0.2,4.1,0.1,0
31,69,3.9,8,1.1,3.8,0.4,0
33,62,4.6,8.3,0.9,4.4,0.4,0
32,67,4.4,8.2,1,4.2,0.4,0
31,72,3.8,8,0.8,3.7,0.3,0
32,55,8.3,18.4,5,8.2,4.9,1
33,46,8.1,8.3,1.9,7.7,1.2,0
33,59,7,8.3,1.6,6.7,0.8,0
35,68,10,17,4.9,9.9,5.3,1
34,70,12.8,25.6,5.4,12.7,6.7,1
36,62,16.5,34.5,7,16.4,9.5,1
36,55,20.9,43.3,8,20.8,12,1
37,37,27.2,52.4,11.7,27.1,18.4,1
37,36,17.9,36.7,4.8,17.8,7.2,1
34,42,12,8.5,2.2,11.5,2.2,0
28,58,3.2,8.5,1.2,3.3,0.5,0
33,48,7.9,17.8,6.8,7.8,6.4,1
34,56,9.7,27.3,4.7,10.3,5.2,1
34,58,13.6,36.8,8,14.1,9.9,1
34,45,18.7,46.4,11.3,18.7,15,1
35,42,15.5,45.1,4.3,16.7,6.3,1
38,43,13,35.4,4.1,13.7,5.2,1
35,47,9.8,9.7,3.1,9.4,3,1
36,43,9.4,9.9,3.2,9,3.1,1
34,51,8,9.5,2,7.7,1.3,0
34,56,7.1,9.5,1.6,6.8,0.8,0
36,44,12.6,19.4,8.3,12.5,9.6,1
39,45,11.3,10.4,4.2,10.9,4.7,1
37,37,12.9,14.69,12.5,10.4,4.7,1
34,45,18,24.1,10.9,17.7,14.1,1
31,83,19.4,33.1,4.7,19.2,7.3,1
32,81,21.1,42.3,4.7,20.9,7.7,1
33,68,23.9,51.6,5.2,23.9,9.1,1
34,58,27.8,61.1,7.3,27.7,13,1
36,50,32.7,71,9.5,32.6,17.3,1
36,29,39.6,80.6,18.5,39.5,30,1
32,48,44.2,90.1,13.2,44,25.4,1
31,71,46.6,99,6.9,46.5,16.3,1
33,63,20.9,56.6,1.6,21.7,2.5,0
39,64,11.7,15.9,1.1,11.4,0.7,0
35,58,10.8,19.7,1.6,10.7,1,0
29,87,11.8,28.3,2.8,11.8,3.2,0
33,57,15.7,37.6,6.7,15.7,9,1
34,59,19.5,47.2,7.4,19.5,10.9,1
36,56,23.8,57.1,8.2,23.8,13.2,1
37,55,28.3,67.2,8.3,28.3,14.5,1
38,52,4.4,10.5,2,4.4,0.8,0
40,34,10.8,21.4,13.8,10.6,13.5,1
39,33,17.1,32.1,17.2,16.9,19.5,1
38,35,23,42.7,15.7,22.9,20.9,1
34,42,23.6,52.5,19,23.5,12.6,1
30,54,11,9.1,1.3,10.5,0.8,0
34,63,7.2,9.8,1.2,6.9,0.6,0
37,56,11.2,20.2,5.2,11,5.9,1
39,43,16.5,30.9,9.6,16.4,12.7,1
39,39,15.8,35.4,8.2,15.8,10.7,1
40,31,22.5,46.3,16.6,22.4,21.6,1
